,horizon,mse,rmse,mae,mape,mdape,coverage
1016,50 days 16:00:00.000000000,1514337.8609093467,1230.584357494173,1000.3635285612179,0.07227550469079025,0.06291754299336731,0.7971626095757643
1017,50 days 17:00:00.000000000,1520329.745249314,1233.0165226992353,1002.5827351239095,0.07240514275337966,0.06319106675245276,0.7964837728617251
1018,50 days 18:00:00.000000000,1523796.6276881434,1234.4215761595158,1003.3484012535348,0.0724330025890341,0.06337857131807384,0.7956505436820398
1019,50 days 19:00:00.000000000,1527618.6494631981,1235.9687089336842,1004.2318945034979,0.07247423143677793,0.06353777648112756,0.7952909395097549
1020,50 days 20:00:00.000000000,1533472.311740623,1238.3344910566866,1005.6809273920021,0.07256019140528835,0.0635635344758776,0.7944215306420038
1021,50 days 21:00:00.000000000,1536809.3282304576,1239.6811397413683,1006.0823202567234,0.07257632956337899,0.06366601450202433,0.7937341165687618
1022,50 days 22:00:00.000000000,1541869.7809045736,1241.7204922624792,1007.3965920662372,0.07264356300463243,0.06369834100438375,0.7930626318768973
1023,50 days 23:00:00.000000000,1546006.0998588419,1243.384936316522,1008.4595841030831,0.07269060709416272,0.06372786227463692,0.7924842727992335
1024,51 days 00:00:00.000000000,1548243.3127678116,1244.2842572209179,1009.4278397535886,0.0727323448274522,0.06392512820669917,0.7921093196683741
1025,51 days 01:00:00.000000000,1549053.180256282,1244.609649752195,1009.7371225804984,0.07275550898162522,0.06394045427152427,0.7912081165292933
1026,51 days 02:00:00.000000000,1550573.6091684026,1245.2203054754618,1010.1084403512036,0.07277869654723242,0.0639842864268281,0.7909460035444281
1027,51 days 03:00:00.000000000,1552978.2727758375,1246.1854889124,1010.8680645684213,0.07282986642070494,0.06394504341269544,0.7912152006640185
1028,51 days 04:00:00.000000000,1556207.8470280536,1247.480599860396,1012.142325421229,0.07293438350801179,0.06408880629909149,0.7908646835812193
1029,51 days 05:00:00.000000000,1559624.3524370436,1248.8492112489175,1013.5592799307981,0.07306875159358099,0.06419428819867146,0.7902057114655539
1030,51 days 06:00:00.000000000,1564195.4667284526,1250.6780028162534,1015.1194743725129,0.07321343159802926,0.06418328312932928,0.7894429862933803
1031,51 days 07:00:00.000000000,1571046.8253386077,1253.414067791888,1017.3631009224653,0.07339892162000247,0.06429184475512253,0.7882764654418195
1032,51 days 08:00:00.000000000,1579389.9173246592,1256.7378077087756,1019.6945622778667,0.07359100617052819,0.06438975397611793,0.7873182518851818
1033,51 days 09:00:00.000000000,1586194.57133769,1259.4421667300528,1021.2856510969254,0.0737165849276741,0.0645214657768218,0.7867974836478778
1034,51 days 10:00:00.000000000,1592599.9518411355,1261.9825481523646,1022.7832514869996,0.07383405987259581,0.0645214657768218,0.7863894464172371
1035,51 days 11:00:00.000000000,1595873.3359510421,1263.2788037290272,1023.468058487314,0.07387616129911681,0.0645214657768218,0.785860100820731
1036,51 days 12:00:00.000000000,1598025.8272245924,1264.1304628971618,1024.0785292764738,0.07388057254842782,0.0645214657768218,0.7853908612300651
1037,51 days 13:00:00.000000000,1596811.838030026,1263.6502039844831,1023.2857368046768,0.07382034326828073,0.06433650754977059,0.7852373716443343
1038,51 days 14:00:00.000000000,1597042.2737128367,1263.7413792832917,1023.6496472338414,0.07384037186931819,0.06444552560606238,0.7853185018539347
1039,51 days 15:00:00.000000000,1600658.9214792016,1265.1714988408496,1025.617276658783,0.0739650266103647,0.06452173064271992,0.7847352414281552
1040,51 days 16:00:00.000000000,1607825.9116737493,1268.000753814346,1028.8815593110446,0.07418116692956682,0.0645400666972422,0.782958502736177
1041,51 days 17:00:00.000000000,1614777.9598796032,1270.7391391940375,1031.7940783908077,0.07437194037063626,0.06460278533689409,0.7808190642836313
1042,51 days 18:00:00.000000000,1618005.6030653378,1272.0084917426211,1033.531317079883,0.07448357385605833,0.06466957236480667,0.7799112830194471
1043,51 days 19:00:00.000000000,1621391.2879307105,1273.3386383561565,1035.1530154453192,0.07458850317938183,0.0647065454826188,0.779159184049362
1044,51 days 20:00:00.000000000,1622232.822070834,1273.6690394568104,1036.0261187987885,0.07463233989937038,0.06481065085298204,0.7787151606049245
1045,51 days 21:00:00.000000000,1618442.8118951232,1272.1803378040092,1035.9991511024314,0.07461858598827956,0.06495612080680797,0.779027621547306
1046,51 days 22:00:00.000000000,1615782.8862523807,1271.1344878699424,1035.8779186854736,0.07458974163662148,0.06531729298995152,0.7789786080661489
1047,51 days 23:00:00.000000000,1612366.1358598915,1269.7897998723613,1035.5636497828548,0.07454813819905676,0.06531729298995152,0.7786318376869568
1048,52 days 00:00:00.000000000,1604990.877113916,1266.8823454109368,1033.4202142008367,0.07440726064957288,0.06495612080680797,0.779270238279038
1049,52 days 01:00:00.000000000,1602301.617376073,1265.8205312666062,1032.66449831878,0.07436840085349611,0.06481065085298204,0.7794508142622522
1050,52 days 02:00:00.000000000,1600327.3618570103,1265.040458585025,1032.0470927667054,0.07433459566294333,0.06490488403641796,0.7800659532942994
1051,52 days 03:00:00.000000000,1597852.6997059176,1264.0619841233727,1030.7314038701668,0.07426344178558143,0.06490488403641796,0.7810754424927661
1052,52 days 04:00:00.000000000,1597645.167552906,1263.9798920682663,1031.0118007356557,0.0743086935740016,0.06525444086812268,0.78089457567804
1053,52 days 05:00:00.000000000,1597416.6662271959,1263.8894992154956,1031.3530467261776,0.07436796045887968,0.06531729298995152,0.7806043475334817
1054,52 days 06:00:00.000000000,1596785.291033113,1263.6396998484627,1031.6865298159637,0.07442204828475293,0.06531729298995152,0.7804177986523612
1055,52 days 07:00:00.000000000,1599157.781527502,1264.5781041626105,1032.7821411719133,0.07452888568930079,0.06536153813369466,0.7797731423922883
1056,52 days 08:00:00.000000000,1602063.9882395025,1265.7266641101871,1033.9995802658832,0.07464464761402449,0.06535939423724721,0.779173436653751
1057,52 days 09:00:00.000000000,1604604.1290432436,1266.7296984926356,1035.00345469806,0.07474057595161031,0.06536153813369466,0.7786526684164489
1058,52 days 10:00:00.000000000,1606327.6339371363,1267.4098129402093,1035.3856023622059,0.07478020874072558,0.06536153813369466,0.7783095740483427
1059,52 days 11:00:00.000000000,1606370.6133790507,1267.4267684482013,1035.0400589045332,0.07474771951870142,0.06531729298995152,0.7782985460150819
1060,52 days 12:00:00.000000000,1606214.8883171866,1267.3653334051655,1034.6010317179027,0.0746864345012458,0.06518871708267686,0.7781615017421066
1061,52 days 13:00:00.000000000,1605645.7249232791,1267.140767603694,1034.4667702413042,0.07468616799514784,0.06505477030147837,0.778514527789289
1062,52 days 14:00:00.000000000,1607096.263890423,1267.7130053329986,1035.2269601294563,0.07474329219664369,0.06531729298995152,0.7785497401060155
1063,52 days 15:00:00.000000000,1610782.1805972224,1269.1659389525164,1036.593360406739,0.07482302228607204,0.06531729298995152,0.777881931425239
1064,52 days 16:00:00.000000000,1615617.7483775865,1271.0695293246497,1038.4687450580498,0.07492428401029082,0.06537263461009149,0.7773660645360507
1065,52 days 17:00:00.000000000,1619173.719376445,1272.4675710510053,1039.7184285077453,0.07497320997103209,0.06545428671668853,0.7771528558930131
1066,52 days 18:00:00.000000000,1615419.1699207425,1270.9914122136083,1038.2627149745638,0.07482823342287988,0.06539651590012133,0.7779444236137149
1067,52 days 19:00:00.000000000,1616372.5038908958,1271.3663924655614,1038.3322825540654,0.07480675100440559,0.06544587865303932,0.7778084756949238
1068,52 days 20:00:00.000000000,1615535.1532020872,1271.037038485538,1037.9874643940645,0.074756637661833,0.06544587865303932,0.7783610382035582
1069,52 days 21:00:00.000000000,1610235.729700509,1268.9506411600528,1036.5895843021385,0.07463653059819801,0.06544587865303932,0.7793525809273842
1070,52 days 22:00:00.000000000,1610565.9623311262,1269.0807548501894,1036.8790424429985,0.07462120593917908,0.06545428671668853,0.7796819515207657
1071,52 days 23:00:00.000000000,1611970.2853982782,1269.6339178669882,1037.4573194528953,0.07462020046692226,0.06547736337779779,0.7798191892680088
1072,53 days 00:00:00.000000000,1608580.8874430913,1268.298422077033,1035.7248897393497,0.07448248027731393,0.06539651590012133,0.780444111152772
1073,53 days 01:00:00.000000000,1611689.3759981473,1269.523286906604,1036.2375662241488,0.07451308128888406,0.06544587865303932,0.7804484965695081
1074,53 days 02:00:00.000000000,1614343.8873355577,1270.5683324148913,1036.457832730725,0.0745244727351631,0.0654071489903614,0.7802566345873435
1075,53 days 03:00:00.000000000,1615770.7931194836,1271.1297310343598,1035.8882927568484,0.07449238785823885,0.06545428671668853,0.7804441111527726
1076,53 days 04:00:00.000000000,1617594.9266718645,1271.84705317576,1036.0585314956338,0.07452471330908325,0.06553496708282795,0.7805053780042202
1077,53 days 05:00:00.000000000,1618201.3442640256,1272.0854311971448,1036.017697538215,0.07455056517137885,0.06552686496958203,0.7805482648002336
1078,53 days 06:00:00.000000000,1617721.009894612,1271.8966191851491,1035.5970180075783,0.07453796906897321,0.06544587865303932,0.7806107569887094
1079,53 days 07:00:00.000000000,1620499.940140902,1272.9885860214545,1036.2409968673871,0.07459477076647407,0.06552686496958203,0.7800033767708859
1080,53 days 08:00:00.000000000,1623366.0885822827,1274.1138444355288,1036.8057873428775,0.07464433533158245,0.06547736337779779,0.7793817439486725
